object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,spectrum_type,organization,spectrum_identity,librarytype,spectrumid,owner,instrument_mode,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific
intensity.10,142b38c44b5169f1fedd99be8ff19efd,0.884704131,0.7,TRUE,15.28411271,#NAME?,TRUE,TRUE,11,1,1 Particle1Area37.csv,CC BY-NC,intensity.10,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,465a349ed4ac285519aaae9533c73d9d,24.1401206,raman,"slopp, munno et al. 2020",cellulose,polymers,dyedcellulose4.yellowfiber,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiber,,8,,,,,8,,,,,,,,,,,,,1200,100,100,25,30,,,,,,,,,,,,,,,,,,,532,8,,,,,organic matter,not plastic,
intensity.11,7337ddae3277a1cfcac07944e644ed75,0.898375336,0.7,TRUE,3.176009583,#NAME?,TRUE,TRUE,12,1,1 Particle1Area40.csv,CC BY-NC,intensity.11,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,609c8a30591b6d3b0d9ac741d35f6fec,69.09045847,raman,"slopp, munno et al. 2020",polyethylene,polymers,polyethylene26.whitemicrobead,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragment,,8,,,,,8,,,,,,,,,,,,,600,300,100,100,0,,,,,,,,,,,,,,,,,,store bought,785,8,,,,,polyolefins (polyalkenes),plastic,poly(ethylene)
intensity.12,5144dac6defe016e4b4250e631ea5d1d,0.731258709,0.7,TRUE,3.001224062,#NAME?,TRUE,TRUE,13,1,1 Particle1Area43.csv,CC BY-NC,intensity.12,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,77e2c840033f7184e0daab007ce89a6c,29.40046242,raman,"slopp, munno et al. 2020",cotton,polymers,cotton2a.pinkfiber,,,,,,,,,,,,,,,,pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiber,,8,,,,,8,,,,,,,,,,,,,1200,100,100,25,30,,,,,,,,,,,,,,,,,,donated,532,8,,,,,organic matter,not plastic,
intensity.13,34ce000399d24fa823f97ea35c751fa3,0.947182667,0.7,TRUE,7.522898382,#NAME?,TRUE,TRUE,1,2,1 Particle1Area45.csv,CC BY-NC,intensity.13,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,b59805b292523aa3df4813ba13321f2e,13.01564006,raman,cabernard et al. 2018,varnish,"polymer, minerals, organic materials",47cabernard,,,,,,,,,,,varnish| awi| klarlack polyurethan-acrylharzlack krautol wei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,krautol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other plastic,plastic,
intensity.14,c645de31fc664c65013000eb5574dd3f,0.963619023,0.7,TRUE,16.98020717,#NAME?,TRUE,TRUE,2,2,1 Particle1Area5.csv,CC BY-NC,intensity.14,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,97beaa5bc2d59c842c62a201306cf849,52.05323382,raman,"slopp, munno et al. 2020",pet,polymers,polyethyleneterephthalate1.clearfragment,,,,,,,,,,,,,,,,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragment,,4,,,,,4,,,,,,,,,,,,,1200,300,100,100,0,,,,,,,,,,,,,,,,,,,532,4,,,,,polyterephthalates,plastic,poly(ethylene terephthalate)
intensity.15,95db7945f484b7d2f30941e5ed04f09b,0.82878615,0.7,TRUE,2.863946051,#NAME?,TRUE,TRUE,3,2,1 Particle1Area7.csv,CC BY-NC,intensity.15,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,fdf8772d7dd78023975e3a995d39a991,15.68734304,raman,rruff,calcioancylite-(ce),minerals,calcioancylitece__r060205__broad_scan__780__0__unoriented__raman_data_processed__20931,rruff,,r060205,"(ce,ca,sr)(co_3_)(oh,h_2_o)","mont saint-hilaire, rouville county, quebec, canada",royal ontario museum,the identification of this mineral is confirmed by single-crystal x-ray diffraction and chemical analysis.,rruff.info/r060205,(ce_0.57_la_0.35_nd_0.12_pr_0.05_)_=1.09_(ca_0.44_sr_0.36_ba_0.04_)_=0.84_(co_3_)_1.97_(oh_0.83_f_0.17_)_=1.00_h_2_o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aggregate of coarse, poorly formed pink crystals, color is pale green under fluorescent lights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.16,c645de31fc664c65013000eb5574dd3f,0.958526082,0.7,TRUE,16.29010276,#NAME?,TRUE,TRUE,4,2,1 Particle2Area10.csv,CC BY-NC,intensity.16,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,6f9ffd7a491bec0311b420cdc9b2839f,52.05323382,raman,"slopp, munno et al. 2020",pet,polymers,polyethyleneterephthalate1.clearfragment,,,,,,,,,,,,,,,,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragment,,4,,,,,4,,,,,,,,,,,,,1200,300,100,100,0,,,,,,,,,,,,,,,,,,,532,4,,,,,polyterephthalates,plastic,poly(ethylene terephthalate)
intensity.17,b6b6de24d917faac6d5808c7caad4ae0,0.683014638,0.7,FALSE,6.662662715,#NAME?,TRUE,FALSE,5,2,1 Particle2Area14.csv,CC BY-NC,intensity.17,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,c0e9b912d0ae05bd35a714cd45e2b214,34.26095937,raman,rruff,painite,minerals,painite__r060957__broad_scan__785__0__unoriented__raman_data_raw__12690,rruff,,r060957,cazr^4+^al_9_o_15_(bo_3_),"ohngaing village, mogok, burma",marcus origlieri,the identification of this mineral has been confirmed by x-ray diffraction.,rruff.info/r060957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"single crystal, reddish-brown to orangish prism section, several prism forms, small transparent areas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.18,f547cb6ff35dc60337118ecf6435c8a4,0.724934173,0.7,TRUE,4.797098788,#NAME?,TRUE,TRUE,6,2,1 Particle2Area17.csv,CC BY-NC,intensity.18,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,998a75829c3b4bd6b3f34f186545e3e3,18.44193604,raman,"slopp, munno et al. 2020",cellulose,polymers,dyedcellulose3.greenfiber,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiber,,8,,,,,8,,,,,,,,,,,,,1200,100,100,25,0,,,,,,,,,,,,,,,,,,,532,8,,,,,organic matter,not plastic,
intensity.19,3d39af337f04f51a784f178aed245717,0.788438213,0.7,TRUE,15.95230528,#NAME?,TRUE,TRUE,7,2,1 Particle2Area19.csv,CC BY-NC,intensity.19,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,3f95b9528fe324756df95ddfa79ed29c,29.0016304,raman,raman open database,b4 li4 o8,crystallography,3500090,public domain,,,,,,,,,arbitrary units,http://solsa.crystallography.net/rod/3500090.rod,4.24,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.20,5144dac6defe016e4b4250e631ea5d1d,0.77854177,0.7,TRUE,4.425395002,#NAME?,TRUE,TRUE,8,2,1 Particle2Area22.csv,CC BY-NC,intensity.20,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,fd91e1852dcc24ed4817e34f51d21e91,29.40046242,raman,"slopp, munno et al. 2020",cotton,polymers,cotton2a.pinkfiber,,,,,,,,,,,,,,,,pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiber,,8,,,,,8,,,,,,,,,,,,,1200,100,100,25,30,,,,,,,,,,,,,,,,,,donated,532,8,,,,,organic matter,not plastic,
intensity.21,ef093f04aa2bf9e223ec4a37736a7022,0.781518019,0.7,TRUE,12.62185176,#NAME?,TRUE,TRUE,9,2,1 Particle2Area23.csv,CC BY-NC,intensity.21,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,5a1452af3c0b489033d1406ab3a07e75,332.4565677,raman,rruff,niter,minerals,niter__r090001__broad_scan__532__0__unoriented__raman_data_processed__19444,rruff,,r090001,kn^5+^o_3_,"searcy county, arkansas, usa",james shigley,the identification of this mineral has been confirmed by single-crystal x-ray diffraction.,rruff.info/r090001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"unconsolidated, granular fragments exhibiting a sandy color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.22,8162f56e6ff318a22db0a0d07fd03d51,0.959160685,0.7,TRUE,10.84222138,#NAME?,TRUE,TRUE,10,2,1 Particle2Area24.csv,CC BY-NC,intensity.22,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,e1e757f864706153307b7726d901e0af,12.48329456,raman,"slopp, munno et al. 2020",cotton,polymers,cotton17.whiteteabag,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiber,,8,,,,,8,,,,,,,,,,,,,600,100,100,100,0,,,,,,,,,,,,,,,,,,store bought,785,8,,,,,organic matter,not plastic,
intensity.23,3f547ab149549039d66156c8eecc5b1b,0.873943345,0.7,TRUE,10.85602868,#NAME?,TRUE,TRUE,11,2,1 Particle2Area28.csv,CC BY-NC,intensity.23,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,b625f8a2e3ed54af28f080b3c5c70c1f,5.975822082,raman,rruff,schreibersite,minerals,schreibersite__r070239__broad_scan__532__0__unoriented__raman_data_raw__14472,rruff,,r070239,"(fe,ni,cr)_3_p","sao juliao de moreira meteorite, ponte de lima, viana do castelo district, portugal",michael scott,the identification of this mineral has been confirmed by x-ray diffraction.,rruff.info/r070239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"silvery fragments with slightly brassy luster, co-type specimen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.24,876c9fef554128f5ffa072004dc4ae10,0.755207874,0.7,TRUE,2.588622573,#NAME?,TRUE,TRUE,12,2,1 Particle2Area29.csv,CC BY-NC,intensity.24,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,fc7e4d5597b9437f617299c98f1a0706,4.928485435,raman,"slopp, munno et al. 2020",modal,polymers,dyedcellulose1.redfiber,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiber,,10,,,,,10,,,,,,,,,,,,,600,300,100,100,0,,,,,,,,,,,,,,,,,,,785,10,,,,,other plastic,plastic,
intensity.25,851fd78da675fc1962eba663691fcfc6,0.800433177,0.7,TRUE,12.0895441,#NAME?,TRUE,TRUE,13,2,1 Particle2Area31.csv,CC BY-NC,intensity.25,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,24be4dd614c2404d8787033edf6bbd61,114.8295854,raman,raman open database,c18 h32 o2,crystallography,1000012,public domain,,,,,,,,,arbitrary units,http://solsa.crystallography.net/rod/1000012.rod,4.24,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,
intensity.26,a6997939af39f128d7965d9bbeb56f70,0.815799882,0.7,TRUE,6.586500182,#NAME?,TRUE,TRUE,1,3,1 Particle2Area32.csv,CC BY-NC,intensity.26,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,fd9592b5022d7098f93b3d9ebefae97d,12.11083202,raman,horiba scientific,cellulose,polymers,cellulose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,
intensity.27,495afd73f0a9ba3c415b71f5d1ef0e85,0.806433808,0.7,TRUE,3.605442919,#NAME?,TRUE,TRUE,2,3,1 Particle2Area35.csv,CC BY-NC,intensity.27,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,2aca71f3279f8f8eaeadeedb99cee329,13.71823241,raman,chsos_pigments,indigo 36000_532,pigments,indigo 36000_532,unknown,absorbance,,,,unknown,,,,counts,"raman spectra of 58 historical pigments, distributed as swatches painted on a cardboard (pigment checker), by dr. antonino cosentino/chsos (http://chsopensource.org/). measured at three laser wavelengths.
published as pigments checker version 3.0, a handy set for conservation scientists: a free online raman spectra database in microchemical journal 129, 123132 (2016)",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.31579,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/5/2017 17:40,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,
intensity.28,25b9cdc32eba1113d9ef4253de2a3b13,0.714204339,0.7,TRUE,1.986792873,#NAME?,TRUE,TRUE,3,3,1 Particle2Area36.csv,CC BY-NC,intensity.28,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,d0d54aa97837f2f9ef88578fce6c7c12,14.04909202,raman,monterey bay aquarium research institute,pi,polymers and organic materials,pi plas197,,reflectance,,,,,,,,,,,,,,,"miller, e.a., yamahara, k.m., french, c. et al. a raman spectral reference library of potential anthropogenic and biological ocean polymers. sci data 9, 780 (2022). https://doi.org/10.1038/s41597-022-01883-5",,,,,,,,,,,,,,,,,monterey bay aquarium research institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other plastic,plastic,polyimides
intensity.29,4ce97a60e4ef1bc0f46b2eb0a2c1bb8f,0.660453972,0.7,FALSE,4.974351111,#NAME?,TRUE,FALSE,4,3,1 Particle2Area4.csv,CC BY-NC,intensity.29,66a4549ef6df9dc534d39f102eb4747f/4347e0d32335fbb5437fe23552aaf18a,8dda228fd5bd52928e106155b65d8f3f,49.78377403,raman,monterey bay aquarium research institute,pa,polymers and organic materials,pa plas100,,reflectance,,,,,,,,,,,,,,,"miller, e.a., yamahara, k.m., french, c. et al. a raman spectral reference library of potential anthropogenic and biological ocean polymers. sci data 9, 780 (2022). https://doi.org/10.1038/s41597-022-01883-5",,,,,,,,,,,,,,,,,monterey bay aquarium research institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polyacrylamides,plastic,
